Название фрейма,Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,имперф.MP,Комментарии,,
RUN,1519,бежать,cap,"<EP, P; P>",cap,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],1,у глагола есть эта а-интерпретация
,,белеть,aʁar,"<ES, P, S; P>",aʁar,"<ES, P, S; P>",0,1,1,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],0,у глагола нет этой а-интерпретации
,,беречь,sakla,<P; P>,sakla,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
STRIKE OR BEAT,2133,бить,tüj,"<ES, P; P>",tüj,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],—,нет данных (не нашли в литературе)
STRIKE OR BEAT,2133,бить,tü,"<ES, P; P>",tü,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
VOMIT,1278,блевать,qus,"<ES, P; P>",qus,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
ACHE,1815,"болеть, болеть (часть тела)",awru ,"<ES, S; S>",awru ,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
FEAR (BE AFRAID),1419,бояться,qorq,"<ES, S; S>",qorq,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
TAKE,1749,брать,al,<ES; P>,al,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
THROW,1456,бросать,at / sɨz,"<ES, P, MP; P, MP>",sɨz,"<ES, P, MP; P, MP>",0,1,1,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
"THROW, SHOOT","1456, 1172","бросать, стрелять",at / sɨz,"<ES, MP; MP>",at,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
,,будить,ujat,"<ES, P; P>",ujat,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,быть похожим,uša,"<ES, S; S>",uša,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
,,вариться,biš,"<ES, P; P>",biš,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BELIEVE,1890,верить,ijnan,"<ES, S; S>",ijnan,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
,,вздрагивать,titere,"<ES, MP; MP>",titere,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Татевосов 2016],,
SEE,1409,видеть,kör,"<ES, S; S>",kör,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,"[Татевосов 2005], [Lyutikova et al 2006]",,
COME BACK,581,возвращаться,qajt,"<ES, P; P>",qajt,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
MEET,1831,встречать,tübe,"<ES, P, MP; P, MP>",tübe,"<ES, P, MP; P, MP>",0,1,1,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
ENTER,749,входить,kir,<ES; P>,kir,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
POUR,1487,"высыпать, выливать",tög,"<ES, P; P>",tög,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
HOWL,526,выть,ulu,"<EP, ES, P; P>",ulu,"<EP, ES, P; P>",1,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
HOWL,526,выть,ulu,"<ES, P; P>",ulu,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
GO OUT,1107,выходить,cɨq,<ES; P>,cɨq,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
KNIT,2905,вязать,eš,"<ES, P; P>",eš,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
EXTINGUISH,127,гасить,öcür,"<ES, P; P>",öcür,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BECOME EXTINGUISHED,2209,гаснуть,öcül,"<ES, P; P>",öcül,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DRIVE (CATTLE),2868,гнать,qɨsta,"<EP, P; P>",qɨsta,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
ROT,2907,гнить,ciri,"<ES, P; P>",ciri,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
ROT,2907,гнить,cir,"<ES, P; P>",cir,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
SPEAK,1623,говорить,ajt,<ES P; P>,ajt,<ES P; P>,0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BURN,2102,гореть,zan / küj,"<EP ES P, P>",zan,"<EP ES P, P>",1,1,1,0,0,0,0,1,0,0,0,[Татевосов 2005],,
GNAW,2706,грызть,kemir,"<ES, P; P>",kemir,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"WALK, WALK (TAKE A WALK)","1443, 2890","гулять, бродить бесцельно",aljan,<P; P>,aljan,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
GIVE,1447,давать,ber,<ES; P>,ber,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
MOVE,765,"двигаться, шевелиться",tep,"<ES, P, MP; P, MP>",tep,"<ES, P, MP; P, MP>",0,1,1,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
MAKE,734,"делать, изготавливать",et,"<ES, P; P>",et,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
COME,1446,доходить,zet,"<ES, P>",zet,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,дрожать,titire,"<ES, MP; MP>",titire,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
THINK,2271,думать,saʁɨš et,"<EP, P; P>",saʁɨš et,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
EAT,1336,"есть, принимать пищу",aša,"<ES, P; P>",aša,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
FRY,991,жарить,quwur,"<ES, P; P>",quwur,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
FRY,991,жарить,quur,"<ES, P; P>",quur,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
WAIT (FOR),1590,ждать,saqla,<P; P>,saqla,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
LIVE,2309,жить,zaša,"<S, S>",zaša,"<S, S>",0,0,0,0,1,0,0,0,0,1,0,[Татевосов 2005],,
,,жужжать,zuwulda,"<EP, P; P>",zuwulda,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
FORGET,1523,забывать,unut,"<ES, P, S; P>",unut,"<ES, P, S; P>",0,1,1,0,1,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,завидовать,zarlan,"<ES, S; S>",zarlan,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
LIGHT (IGNITE),737,загораться,zan / küj,"<EP ES P, P>",küj,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
KNOW,3626,знать,bil,"<ES, S; S>",bil,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
RIPEN,179,зреть,biš,"<ES, P; P>",biš,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
FALL (OF SNOW AND RAIN),2234,"идти, падать (о дожде)",zawa,"<P, P>",zawa,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
LOOK FOR,1468,искать,izle / tap,"<ES P, P>",izle,<P; P>,0,0,1,0,0,0,0,1,0,0,0,"[Татевосов 2005], [Lyutikova et al 2006]",,
DRIP (FALL IN GLOBULES),808,капать,aq,"<ES MP, MP>",aq,"<ES MP, MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
DRIP (FALL IN GLOBULES),808,капать,аʁ,"<ES MP, MP>",аʁ,"<ES MP, MP>",0,1,0,0,0,1,0,0,0,0,1,"[Татевосов 2005], [Татевосов 2016]",,
SHAKE,1909,качать,cajqa,"<ES, MP; MP>",cajqa,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
COUGH,879,кашлять,zötel et,"<ES, MP; MP>",zötel et,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
BOIL (OF LIQUID),792,кипеть,qajna,"<EP P, P>",qajna,"<EP P, P>",1,0,1,0,0,0,0,1,0,0,0,[Татевосов 2005],,
BOIL (OF LIQUID),792,кипеть,qajna,"<ES, EP, P1, P2; P1, P2>",qajna,"<ES, EP, P1, P2; P1, P2>",1,1,1,1,0,0,0,1,1,0,0,[Lyutikova et al 2006],,
BECOME SOUR,2229,киснуть,acɨ,"<ES, P; P>",acɨ,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PUT,998,класть,sal,"<ES, P>",sal,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,"[Татевосов 2005], [Lyutikova et al 2006]",,
DIG,1418,копать,qaz,"<ES, P; P>",qaz,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PAINT (SOMETHING),3122,красить,boja,"<ES, P; P>",boja,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SHOUT,715,кричать,qɨcɨr,"<EP, ES, P; P>",qɨcɨr,"<EP, ES, P; P>",1,1,1,0,0,0,0,1,0,0,0,"[Lyutikova et al 2006], [Татевосов 2016]",,
SHOUT,715,кричать,qɨcɨr,"<ES, P; P>",qɨcɨr,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
DESTROY,681,"крошить, разрушать",oj,"<ES, P; P>",oj,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
TURN (SOMETHING),1445,крутить,bur,"<ES, MP; P MP>",bur,"<ES, MP; P MP>",0,1,0,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
WALK (TAKE A WALK),2890,"крутиться, бродить бесцельно, болтаться",ajlan,<P; P>,ajlan,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
BITE,1403,кусать,qap,"<ES, P, MP; P, MP>",qap,"<ES, P, MP; P, MP>",0,1,1,0,0,1,0,1,0,0,1,[Lyutikova et al 2006],,
,,ласкать,sɨla,<P; P>,sɨla,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
BARKING,1206,лаять,ür,"<ES, EMP, MP; MP>",ür,"<ES, EMP, MP; MP>",0,1,0,0,0,1,1,0,0,0,1,[Lyutikova et al 2006],,
"LIE DOWN, LIE (REST)","215, 1411","лежать, ложиться",zat,"<ES, P, S; P, S>",zat,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
FLY (MOVE THROUGH AIR),1441,"лететь, летать",uc,"<EP, P; P>",uc,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
,,лизать,zala,"<ES, MP; MP>",zala,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
POUR,1487,"лить, переливать",quj,"<ES, P; P>",quj,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
"CATCH, KEEP","702, 1477","ловить, держать",tut,"<ES, P, S; P, S>",tut,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
BREAK (BREAKING),3020,ломаться,sɨn,<ES; P>,sɨn,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
LOVE,923,любить,süj,"<ES, S; S>",süj,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
WAVE (VERB),3544,махать,bulʁa,"<ES, MP; MP>",bulʁa,"<ES, MP; MP>",0,1,0,0,0,1,0,0,0,0,1,[Lyutikova et al 2006],,
,,"мерзнуть, замерзать",buzla,"<ES, P, S; P, S>",buzla,"<ES, P, S; P, S>",0,1,1,0,1,0,0,1,0,1,0,[Lyutikova et al 2006],,
TORTURE,1952,мучить,qɨjna,<P; P>,qɨjna,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
TORTURE,1952,мучить,qɨjɨna,<P; P>,qɨjɨna,<P; P>,0,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
WASH,1453,мыть,zuw,"<ES, P; P>",zuw,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
WASH,1453,мыть,zuu,"<ES, P; P>",zuu,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Татевосов 2016],,
,,мяукать,maqɨr,"<EP, P; P>",maqɨr,"<EP, P; P>",1,0,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
PUT ON,158,надевать,kij,<ES; P>,kij,<ES; P>,0,1,0,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
HOPE,1092,надеяться,ɨšan,"<ES, S; S>",ɨšan,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
FIND,719,"найти, находить",izle / tap,"<ES P, P>",tap,"<ES, —>",0,1,0,0,0,0,0,0,0,0,0,[Татевосов 2005],,
,,наполняться,tol,"<ES, P; P>",tol,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
LIKE,1117,нравиться,büsüre,"<ES, S; S>",büsüre,"<ES, S; S>",0,1,0,0,1,0,0,0,0,1,0,[Lyutikova et al 2006],,
SNIFF,375,нюхать,ijiske,"<ES, P; P>",ijiske,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
SWELL,1573,"опухать, подходить (о тесте)",köp,"<ES, P; P>",köp,"<ES, P; P>",0,1,1,0,0,0,0,1,0,0,0,[Lyutikova et al 2006],,
