Фрейм,Значение,А-группа,А-класс,Форма,А-класс,перф.EP,перф.ES,перф.Q,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,имперф.P,имперф.P2,имперф.S,Источник,Комментарии,Легенда,
1453,помыть,xøl°ta / xøl°ta-mpø,"<ES, P>",xøl°ta,"<ES, 0>",0,1,0,0,0,0,0,0,0,0,0,Tatevosov 2021,"здесь и далее нули проставлены согласно принципу отсутсвия неоднозначности в акциональной парадигме, который релевантен в тундровом ненецком (Tatevosov 2021: 583)",1,у глагола есть эта а-интерпретация
1453,мыть,xøl°ta / xøl°ta-mpø,"<ES, P>",xøl°ta-mpø,"<0, P>",0,0,0,0,0,0,0,0,1,0,0,Tatevosov 2021,,0,у глагола нет этой а-интерпретации
2907,сгнить,tyím / tyím-pø,"<ES, P>",tyím,"<ES, 0>",0,1,0,0,0,0,0,0,0,0,0,Tatevosov 2021,,—,нет данных (не нашли в литературе)
2907,гнить,tyím / tyím-pø,"<ES, P>",tyím-pø,"<0, P>",0,0,0,0,0,0,0,0,1,0,0,Tatevosov 2021,,,
719,найти,xo / xo-mpø,"<ES, —>",xo,"<ES, 0>",0,1,0,0,0,0,0,0,0,0,0,Tatevosov 2021,,,
719,находить,xo / xo-mpø,"<ES, —>",xo-mpø,"<0, 0>",0,0,0,0,0,0,0,0,0,0,0,Tatevosov 2021,,,
1494,умереть,xa / xa-nø,"<ES, P>",xa,"<ES, 0>",0,1,0,0,0,0,0,0,0,0,0,Tatevosov 2021,,,
1494,умирать,xa / xa-nø,"<ES, P>",xa-nø,"<0, P>",0,0,0,0,0,0,0,0,1,0,0,Tatevosov 2021,,,
2493,закипеть,loxom / loxom-nø,"<EP, P>",loxom,"<EP, 0>",1,0,0,0,0,0,0,0,0,0,0,Tatevosov 2021,,,
2493,кипеть,loxom / loxom-nø,"<EP, P>",loxom-nø,"<0, P>",0,0,0,0,0,0,0,0,1,0,0,Tatevosov 2021,,,
2102,сгореть,tum,"<EP, —>",tum,"<EP, —>",1,0,0,0,0,0,0,0,0,0,0,Tatevosov 2021,,,
1786,высохнуть,tira / tira-nø,"<EP ES, P>",tira,"<EP ES, 0>",1,1,0,0,0,0,0,0,0,0,0,Tatevosov 2021,,,
,сохнуть,tira / tira-nø,"<EP ES, P>",tira-nø,"<0, P>",0,0,0,0,0,0,0,0,1,0,0,Tatevosov 2021,,,